PRO_COM,dist_romita_km
6008,74.03226326279925
20038,49.364654825153295
20039,49.364654825153295
20040,49.364654825153295
20041,49.364654825153295
20042,49.364654825153295
20043,49.364654825153295
20044,49.364654825153295
20045,49.364654825153295
20046,49.364654825153295
20047,49.364654825153295
20048,49.364654825153295
20049,49.364654825153295
20050,49.364654825153295
20051,49.364654825153295
20052,49.364654825153295
20053,49.364654825153295
20054,49.364654825153295
20055,49.364654825153295
20056,49.364654825153295
20057,49.364654825153295
20058,49.364654825153295
36025,0
36026,0
36027,0
36028,0
36029,0
36030,0
36031,0
36032,0
36033,0
36034,0
36035,0
36036,0
36037,0
36038,0
36039,0
36040,0
36041,0
36042,0
36043,0
36044,0
36045,0
36046,0
54025,50.92779937912781
54026,50.92779937912781
54027,50.92779937912781
54028,50.92779937912781
54029,50.92779937912781
54030,50.92779937912781
54031,50.92779937912781
54032,50.92779937912781
54033,50.92779937912781
54034,50.92779937912781
54035,50.92779937912781
54036,50.92779937912781
54037,50.92779937912781
54038,50.92779937912781
54039,50.92779937912781
54040,50.92779937912781
54041,50.92779937912781
54042,50.92779937912781
54043,50.92779937912781
54044,50.92779937912781
54045,50.92779937912781
54046,50.92779937912781
54047,50.92779937912781
61100,0
61101,0
61102,0
61103,0
61104,0
62001,38.06655181090815
62002,38.06655181090815
62003,38.06655181090815
62004,38.06655181090815
62005,38.06655181090815
62006,38.06655181090815
62007,38.06655181090815
62008,38.06655181090815
62009,38.06655181090815
62010,38.06655181090815
62011,38.06655181090815
62012,38.06655181090815
62013,38.06655181090815
62014,38.06655181090815
62015,38.06655181090815
62016,38.06655181090815
62017,38.06655181090815
12001,32.888691818643316
6006,74.03226326279925
6040,74.03226326279925
6053,74.03226326279925
6086,74.03226326279925
6087,74.03226326279925
6096,74.03226326279925
6132,74.03226326279925
6151,74.03226326279925
6174,74.03226326279925
6181,74.03226326279925
12002,32.888691818643316
12003,32.888691818643316
12004,32.888691818643316
12005,32.888691818643316
12006,32.888691818643316
12007,32.888691818643316
12008,32.888691818643316
12009,32.888691818643316
12010,32.888691818643316
12011,32.888691818643316
12012,32.888691818643316
12013,32.888691818643316
12014,32.888691818643316
12015,32.888691818643316
12016,32.888691818643316
12017,32.888691818643316
12018,32.888691818643316
12019,32.888691818643316
12020,32.888691818643316
12021,32.888691818643316
12022,32.888691818643316
12023,32.888691818643316
12024,32.888691818643316
12025,32.888691818643316
12026,32.888691818643316
12027,32.888691818643316
12028,32.888691818643316
12029,32.888691818643316
12030,32.888691818643316
12031,32.888691818643316
12032,32.888691818643316
12033,32.888691818643316
12034,32.888691818643316
12035,32.888691818643316
12036,32.888691818643316
12037,32.888691818643316
12038,32.888691818643316
12039,32.888691818643316
12040,32.888691818643316
12041,32.888691818643316
12042,32.888691818643316
12043,32.888691818643316
12044,32.888691818643316
12045,32.888691818643316
12046,32.888691818643316
12047,32.888691818643316
12048,32.888691818643316
12049,32.888691818643316
12050,32.888691818643316
12051,32.888691818643316
12052,32.888691818643316
12053,32.888691818643316
12054,32.888691818643316
12055,32.888691818643316
12056,32.888691818643316
12057,32.888691818643316
12058,32.888691818643316
12059,32.888691818643316
12060,32.888691818643316
12061,32.888691818643316
12062,32.888691818643316
12063,32.888691818643316
12064,32.888691818643316
12065,32.888691818643316
12066,32.888691818643316
12067,32.888691818643316
12068,32.888691818643316
12069,32.888691818643316
12070,32.888691818643316
12071,32.888691818643316
12072,32.888691818643316
12073,32.888691818643316
12074,32.888691818643316
12075,32.888691818643316
12076,32.888691818643316
12077,32.888691818643316
12078,32.888691818643316
12079,32.888691818643316
12080,32.888691818643316
12081,32.888691818643316
12082,32.888691818643316
12083,32.888691818643316
12084,32.888691818643316
12085,32.888691818643316
12086,32.888691818643316
12087,32.888691818643316
12088,32.888691818643316
12089,32.888691818643316
12090,32.888691818643316
12091,32.888691818643316
12092,32.888691818643316
12093,32.888691818643316
12094,32.888691818643316
12095,32.888691818643316
12096,32.888691818643316
12097,32.888691818643316
12098,32.888691818643316
12099,32.888691818643316
12100,32.888691818643316
12101,32.888691818643316
12102,32.888691818643316
12103,32.888691818643316
12104,32.888691818643316
12105,32.888691818643316
12106,32.888691818643316
12107,32.888691818643316
12108,32.888691818643316
12109,32.888691818643316
12110,32.888691818643316
12111,32.888691818643316
12112,32.888691818643316
12113,32.888691818643316
12114,32.888691818643316
12115,32.888691818643316
12116,32.888691818643316
12117,32.888691818643316
12118,32.888691818643316
12119,32.888691818643316
12120,32.888691818643316
12121,32.888691818643316
12122,32.888691818643316
12123,32.888691818643316
12124,32.888691818643316
12125,32.888691818643316
12126,32.888691818643316
12127,32.888691818643316
12128,32.888691818643316
12129,32.888691818643316
12130,32.888691818643316
12131,32.888691818643316
12132,32.888691818643316
12133,32.888691818643316
12134,32.888691818643316
12135,32.888691818643316
12136,32.888691818643316
12137,32.888691818643316
12138,32.888691818643316
12139,32.888691818643316
12140,32.888691818643316
12141,32.888691818643316
13001,38.956659197399624
13002,38.956659197399624
13003,38.956659197399624
13004,38.956659197399624
13005,38.956659197399624
13006,38.956659197399624
13007,38.956659197399624
13008,38.956659197399624
