row,(1) OLS,(2) +Prov FE,(3) +1961 ctrl
W2,-0.0087***,-0.0066***,-0.0068***
W2_SE,(0.0010),(0.0014),(0.0009)
N,1187,1187,1187
R2,0.041,0.103,0.451
