cohort,pre_year,post_year,outcome,ATT_direct,SE_direct,ATT_indirect,SE_indirect,ATT_total,event_time
A,1951,1961,lP1,0.20009444578541483,0.04138585374480632,2.5541446660504055,0.8228081075832492,2.7542391118358203,0
A,1951,1971,lP1,0.5203727580342078,0.08536066400864724,10.284561267896237,1.8467099772932125,10.804934025930445,1
A,1951,1981,lP1,0.6317688767951359,0.11760132701646867,17.297540122366954,2.5385844792421577,17.92930899916209,2
A,1951,1991,lP1,0.6725595231200174,0.1452514969271613,22.71764696113671,3.0192012566594504,23.390206484256726,3
B,1961,1971,lP1,0.30664342834201996,0.059682343620143706,4.099033041439307,0.5966663540953976,4.405676469781326,0
B,1961,1981,lP1,0.49958741418961683,0.07861615243678478,7.887489451704675,0.9827901713210638,8.387076865894292,1
B,1961,1991,lP1,0.5831655275921841,0.0938859372945006,10.82395169994499,1.2640385867318538,11.407117227537174,2
A,1951,1961,lUT,0.15730971084352927,0.052507005277442696,1.1687055050329156,1.4650164847166625,1.3260152158764449,0
A,1951,1971,lUT,0.28444962412865943,0.06782039537729916,3.879541818528862,1.7605507696145515,4.1639914426575215,1
A,1951,1981,lUT,0.43618116924142725,0.11848962520811483,12.82044539383976,2.0161333292427877,13.256626563081188,2
A,1951,1991,lUT,0.48427729329632024,0.11617055189094616,16.654508247262022,2.1620734608265493,17.13878554055834,3
B,1961,1971,lUT,0.1689955867377193,0.058574845826159155,1.5003294349217524,0.706128643669986,1.6693250216594717,0
B,1961,1981,lUT,0.3760817704351713,0.08400503679317951,6.467817603108539,0.9355940960604644,6.84389937354371,1
B,1961,1991,lUT,0.6758742680065695,0.0967086291035566,8.6767031684821,0.8986044443544654,9.35257743648867,2
A,1951,1961,lAT,0.3893524386097952,0.08117073403260987,6.008956015333367,1.8108488449850129,6.398308453943162,0
A,1951,1971,lAT,0.632714361677556,0.09909572312589247,15.615408049397066,2.5586003600999074,16.248122411074622,1
A,1951,1981,lAT,0.6838634869012669,0.11478370361976399,23.851691009270585,2.5727652357431765,24.53555449617185,2
A,1951,1991,lAT,0.7037644232945867,0.12489527292444778,27.516009134049714,2.8407386055311474,28.2197735573443,3
B,1961,1971,lAT,0.3811616862461614,0.14484900891307925,5.29326595776078,1.0096601314439337,5.674427644006942,0
B,1961,1981,lAT,0.5023590568442782,0.17937744236585917,9.951673761632176,1.1500886074995138,10.454032818476454,1
B,1961,1991,lAT,0.7963139073318152,0.11474238545512692,12.072269940802387,1.3844882298366148,12.868583848134202,2
