row,Pop,Units,Emp
w2_bandQ2,-0.0382*,-0.0685,-0.1526
w2_bandQ2_SE,(0.0226),(0.0498),(0.1032)
w2_bandQ3,-0.0798***,-0.0985,-0.2379**
w2_bandQ3_SE,(0.0302),(0.0674),(0.0931)
w2_bandQ4,-0.1868***,-0.2381***,-0.3942***
w2_bandQ4_SE,(0.0374),(0.0633),(0.0965)
w2_bandQ5 (farthest),-0.3334***,-0.3439***,-0.5696***
w2_bandQ5 (farthest)_SE,(0.0381),(0.0483),(0.0843)
N,1187,1187,1187
R2,0.469,0.451,0.388
