row,Pop,Units,Emp
cohort_g1959,0.1275**,0.2515***,0.3501***
cohort_g1959_SE,(0.0551),(0.0475),(0.0793)
cohort_g1960,-0.1132,0.0255,-0.0076
cohort_g1960_SE,(0.1200),(0.0650),(0.3309)
cohort_g1962,0.1575*,0.6478***,0.8865***
cohort_g1962_SE,(0.0846),(0.0638),(0.1393)
cohort_g1964,0.1997***,0.3050***,0.3428***
cohort_g1964_SE,(0.0578),(0.0371),(0.1025)
N,1194,1193,1193
R2,0.416,0.433,0.365
