row,(1) OLS,(2) +Prov FE,(3) +1961 ctrl
W2,-0.0097***,-0.0078***,-0.0068***
W2_SE,(0.0012),(0.0010),(0.0008)
N,1187,1187,1187
R2,0.159,0.385,0.472
