group,n,<ce><94> Pop (%),<ce><94> Local units (%),<ce><94> Employees (%)
Same-prov control,1141,21.805391359706785,89.50876953801539,174.34976309776417
A1 treated,53,35.71440511223032,127.50507190474441,200.55928637662058
