sample,outcome,event_time,att,se,n_cells,lo,hi
donut30,log Employees,-2,-0.21224527676765376,0.0805250159245984,1,-0.3700743079798666,-0.05441624555544089
donut30,log Employees,0,0.2677912730797902,0.07883961619536202,2,0.11326562533688067,0.4223169208226998
donut30,log Employees,1,0.31691374984916004,0.09279897251238586,2,0.13502776372488376,0.4987997359734363
donut30,log Employees,2,0.4563732431801258,0.09076558401229934,2,0.2784726985160191,0.6342737878442325
donut30,log Employees,3,0.4527695566405822,0.07760372248606806,1,0.3006662605678888,0.6048728527132756
donut30,log Population,-2,-0.15091188396783473,0.02650153894094625,1,-0.20285490029208936,-0.09896886764358008
donut30,log Population,0,0.20526354713879744,0.02926907291642357,2,0.14789616422260723,0.2626309300549876
donut30,log Population,1,0.3577215133554564,0.04147026874648282,2,0.27643978661235,0.43900324009856273
donut30,log Population,2,0.37386068214410895,0.054779459454185116,2,0.26649294161390613,0.48122842267431176
donut30,log Population,3,0.4180756457635502,0.1637024655090126,1,0.0972188133658855,0.738932478161215
donut30,log Local units,-2,-0.07080567081102015,0.03947348273449667,1,-0.14817369697063362,0.006562355348593313
donut30,log Local units,0,0.13568223936830467,0.03070548071491689,2,0.07549949716706758,0.19586498156954177
donut30,log Local units,1,0.21303302677231656,0.046776701828815145,2,0.12135069118783888,0.30471536235679425
donut30,log Local units,2,0.4073902376644172,0.09853530412449521,2,0.21426104158040657,0.6005194337484278
donut30,log Local units,3,0.3029263308052215,0.14906056904123272,1,0.010767615484405413,0.5950850461260376
donut45,log Employees,-2,-0.26434757216358096,0.09149087831781637,1,-0.443669693666501,-0.08502545066066089
donut45,log Employees,0,0.2562942954147707,0.08280414073189538,2,0.0939981795802558,0.41859041124928564
donut45,log Employees,1,0.3576667250708647,0.12527323104291588,2,0.11213119222674961,0.6032022579149798
donut45,log Employees,2,0.5253793817216795,0.10590722745351051,2,0.3178012159127989,0.7329575475305601
donut45,log Employees,3,0.49180250999584807,0.13082352350442406,1,0.23538840392717691,0.7482166160645192
donut45,log Population,-2,-0.16610193909593676,0.028391052390947417,1,-0.22174840178219368,-0.11045547640967983
donut45,log Population,0,0.24312495162506934,0.040110747235702,2,0.1645078870430934,0.32174201620704523
donut45,log Population,1,0.4380635203175796,0.054342700642788504,2,0.33155182705771413,0.5445752135774451
donut45,log Population,2,0.48840042587435056,0.06330712651653803,2,0.36431845790193607,0.6124823938467651
donut45,log Population,3,0.6643683593046774,0.1637136129941086,1,0.3434896778362245,0.9852470407731303
donut45,log Local units,-2,-0.14091885481937685,0.04657879355942495,1,-0.23221329019584974,-0.04962441944290395
donut45,log Local units,0,0.14739682782970806,0.05458288406775667,2,0.04041437505690498,0.25437928060251114
donut45,log Local units,1,0.24060684881769415,0.09233246208717275,2,0.05963522312683556,0.42157847450855274
donut45,log Local units,2,0.46870568876279967,0.11979781165566852,2,0.23390197791768935,0.70350939960791
donut45,log Local units,3,0.2864141983178545,0.2532173779289318,1,-0.2098918624228518,0.7827202590585607
tight,log Employees,-2,-0.14968585248156122,0.08463538223340175,1,-0.31557120165902863,0.0161994966959062
tight,log Employees,0,0.24098441656458064,0.07507120262587527,2,0.0938448594178651,0.38812397371129614
tight,log Employees,1,0.2513924995332796,0.0859984062292809,2,0.08283562332388902,0.4199493757426701
tight,log Employees,2,0.3652719880600731,0.07703485133523452,2,0.21428367944301344,0.5162602966771328
tight,log Employees,3,0.23305691364827721,0.08958353531851786,1,0.05747318442398222,0.4086406428725722
tight,log Population,-2,-0.10898017928744318,0.01860760916073515,1,-0.14545109324248406,-0.07250926533240229
tight,log Population,0,0.17220809664709258,0.02690541054656026,2,0.11947349197583447,0.2249427013183507
tight,log Population,1,0.2891006631162425,0.0336141620190623,2,0.22321690555888038,0.3549844206736046
tight,log Population,2,0.28196439250238997,0.04146345571500003,2,0.2006960193009899,0.36323276570379004
tight,log Population,3,0.2828408732467937,0.12240656696385685,1,0.04292400199763427,0.5227577444959531
tight,log Local units,-2,-0.0478985804153804,0.038427799581997504,1,-0.12321706759609552,0.027419906765334713
tight,log Local units,0,0.12738081521408273,0.028469862771835074,2,0.071579884181286,0.18318174624687947
tight,log Local units,1,0.1885614572204889,0.03423950995453291,2,0.12145201770960438,0.2556708967313734
tight,log Local units,2,0.3371009406009625,0.0765382806289554,2,0.18708591056820995,0.4871159706337151
tight,log Local units,3,0.19774338458829344,0.08877040983381049,1,0.02375338131402488,0.371733387862562
