row,(1) OLS,(2) +Prov FE,(3) +1961 controls
treat_A1,0.2603**,0.2804***,0.3692***
treat_A1_SE,(0.1210),(0.0961),(0.0537)
N,1193,1193,1193
R2,0.004,0.087,0.430
