outcome,ATT_direct,SE_direct,ATT_indirect,SE_indirect,ATT_total,SE_total,n_spillover_rings,boundary
d log Pop,0.4364295142360652,0.08401780581278899,5.817355442901801,0.6764923055156528,6.253784957137865,0.681689688286011,3,R4 45-60 min (control)
d log Units,0.6433220831918315,0.06056597066766194,3.851292200123087,0.5491391913111972,4.4946142833149185,0.5524690835122195,2,R3 30-45 min (near control)
d log Emp,0.9198812229859078,0.1573513570597809,6.127890751595478,1.128800252789758,7.047771974581386,1.139714639840507,2,R3 30-45 min (near control)
