year,group,g_P1,g_UT,g_AT
1971,Same-prov control,0.9215683181082505,19.51373234158282,56.74096815957323
1971,A1 treated,18.515520305365374,40.0602386449797,85.69895246739071
1981,Same-prov control,6.550752891179111,31.80016175757574,46.59180980153181
1981,A1 treated,9.730974043879188,37.27397312030054,36.8878528227727
1991,Same-prov control,7.152433019650577,14.286192350907161,15.339399887880026
1991,A1 treated,2.982718349265449,13.9462157378476,11.403842356839895
