year,g_P1_Same-prov control,g_P1_A1 treated,g_UT_Same-prov control,g_UT_A1 treated,g_AT_Same-prov control,g_AT_A1 treated
1971,1.1025079960962414,16.748969740126483,19.867788425242782,34.34988436543972,57.29436582771267,76.28250201896583
1981,6.572780455926637,9.677433500583016,32.00753120061729,32.87670387396177,46.732665279435125,31.81313975203515
1991,7.130496643295729,2.880068100926221,14.346686919311066,12.3527354782411,15.553703847407887,5.334037016035268
