row,(1) OLS,(2) +Prov FE,(3) +1961 ctrl
W2,-0.0116***,-0.0095***,-0.0113***
W2_SE,(0.0010),(0.0010),(0.0014)
N,1187,1187,1187
R2,0.045,0.084,0.391
