row,(1) OLS,(2) +Prov FE,(3) +1961 controls
treat_A1,0.2317*,0.2433**,0.4774***
treat_A1_SE,(0.1324),(0.1189),(0.1014)
N,1193,1193,1193
R2,0.002,0.061,0.362
