row,Delta log Population
factor(p_quartile)2,0.1445*
factor(p_quartile)2_SE,(0.0776)
factor(p_quartile)3,0.2713***
factor(p_quartile)3_SE,(0.0727)
factor(p_quartile)4,0.2810***
factor(p_quartile)4_SE,(0.0957)
treat_A1,-0.0291
treat_A1:factor(p_quartile)2,0.2515*
treat_A1:factor(p_quartile)2_SE,(0.1418)
treat_A1:factor(p_quartile)3,-0.1653
treat_A1:factor(p_quartile)3_SE,(0.2240)
treat_A1:factor(p_quartile)4,0.2271
treat_A1:factor(p_quartile)4_SE,(0.1990)
treat_A1_SE,(0.1688)
N,1194
R2,0.360
