row,d_lP,d_lU,d_lA,d_er
treat_A1,0.1069***,0.3632***,0.4956***,0.0667***
treat_A1_SE,(0.0284),(0.0680),(0.0817),(0.0182)
N,1194,1193,1193,1165
R2,0.412,0.428,0.361,0.161
