row,(1) OLS,(2) +Prov FE,(3) +1961 controls
treat_A1,0.0249,0.0155,0.0544***
treat_A1_SE,(0.0181),(0.0176),(0.0199)
N,1165,1165,1165
R2,0.001,0.109,0.160
