outcome,event_time,att_direct,att_indirect,att_total,se_direct,se_indirect
log Emp,0,0.38409799369727543,5.549834091607557,5.933932085304832,0.09369163662330919,0.8823740500495033
log Emp,1,0.5490902038599815,11.982069072340344,12.531159276200325,0.11587955874949825,1.132650347917083
log Emp,2,0.7560014924604864,16.295081267234384,17.051082759694868,0.08114207240508817,1.232034016496472
log Emp,3,0.7037644232945867,27.51600913404971,28.219773557344304,0.12489527292444778,2.8407386055311474
log Pop,0,0.26844662327455776,3.5452051332810215,3.813651756555579,0.03950905098605171,0.46497289489482724
log Pop,1,0.5070387638697532,8.746817083924292,9.253855847794044,0.056761256372667275,0.8796545252676794
log Pop,2,0.60058936975928,13.144672077794374,13.745261447553654,0.07073933426815078,1.1728472994797827
log Pop,3,0.6725595231200174,22.71764696113671,23.390206484256726,0.1452514969271613,3.0192012566594504
log Units,0,0.16480631047376437,1.381445384584245,1.5462516950580092,0.040438932883533396,0.6673491371241215
log Units,1,0.34323251043849723,5.539945152032806,5.8831776624713035,0.05688627934436054,0.8380420963846765
log Units,2,0.5899465533549147,10.162195664365033,10.752142217719948,0.07234631334341222,0.889558723693
log Units,3,0.48427729329632024,16.654508247262022,17.13878554055834,0.11617055189094616,2.1620734608265493
