row,Pop,Units,Emp
grpEarly (treated by 1961),0.1551***,0.1368***,0.2886***
grpEarly (treated by 1961)_SE,(0.0337),(0.0228),(0.0572)
grpLate (not yet treated),0.1101***,0.0475,0.1504*
grpLate (not yet treated)_SE,(0.0185),(0.0384),(0.0844)
N,1165,1193,1193
R2,0.258,0.056,0.060
